producto,precioUnitario,talla,cantidad,vendedor,fecha,total
 Chaqueta de Hombre Doble Faz Cuello Alto Windbreaker Bolsillo Canguro en Mezcla de Algodón y Poliéster ,680000.0,XL,2.0,Jessica Mora,2026-01-29,1360000
Camisa Polo de Hombre Classic Fit Cuello Nerú Manga Corta Textura Piqué Jacquard en Algodón,200000.0,M,4.0,Pablo Serna,2026-01-24,1744
chaqueta de hombre doble faz cuello alto windbreaker bolsillo canguro en mezcla de algodón y poliéster,680000.0,S,3.0,Kevin Villegas,2026-02-25,2040000
Jean de Hombre Rider Skinny Fit Tiro Bajo Lavado Medio Rotos Detalles en Costuras en Mezcla de Algodón,357000.0,XL,3.0,PABLO SERNA,2026-01-29,1071000
Camisa Polo de Hombre Slim Fit Cuello Nerú Manga Corta Sesgos en Contraste en Mezcla de Algodón,110000.0,M,5.0,Harold Mejia,2026-02-14,2237
Jean de Hombre Rider Skinny Fit Tiro Bajo Lavado Medio Rotos Detalles en Costuras en Mezcla de Algodón,357000.0,M,0.0,Jessica Mora,2026-02-09,1071000
 Jean de Hombre Rider Skinny Fit Tiro Bajo Lavado Medio Rotos Detalles en Costuras en Mezcla de Algodón ,357000.0,XXXL,5.0,Brahian Lopera,2026-02-21,1785000
Chaqueta de Hombre Doble Faz Cuello Alto Windbreaker Bolsillo Canguro en Mezcla de Algodón y Poliéster,680000.0,XXL,-1.0,Pablo Serna,2026-01-17,2720000
Chaqueta de Hombre Doble Faz Cuello Alto Windbreaker Bolsillo Canguro en Mezcla de Algodón y Poliéster,680000.0,L,3.0,Alderney Ramirez,23/01/Y,2040000
 Camiseta Polo M/C ,98000.0,XS,4.0,Angie Saldarriaga,2026-02-14,392000
Chaqueta de Hombre Doble Faz Cuello Alto Windbreaker Bolsillo Canguro en Mezcla de Algodón y Poliéster,680000.0,S,4.0,Jessica Mora,22/02/Y,2720000
Chaqueta de Hombre Doble Faz Cuello Alto Windbreaker Bolsillo Canguro en Mezcla de Algodón y Poliéster,680000.0,M,,Daniel Arias,2026-01-06,680000
